"trip_id","arrival_time","departure_time","stop_id","stop_sequence","stop_headsign","pickup_type","arrival_time_sort","timepoint"
"296200096","15:18:00","15:18:00","174","4","Laguna Niguel / Mission Viejo","0","15:18:00","1"
"296200096","15:25:00","15:25:00","128","5","Laguna Niguel / Mission Viejo","0","15:25:00","1"
"296200096","15:30:00","15:30:00","145","6","Laguna Niguel / Mission Viejo","0","15:30:00","1"
"296200096","15:35:00","15:35:00","154","7","Laguna Niguel / Mission Viejo","0","15:35:00","1"
"296200096","15:41:00","15:41:00","156","8","Laguna Niguel / Mission Viejo","0","15:41:00","1"
"296200096","15:48:00","15:48:00","140","9","Laguna Niguel / Mission Viejo","0","15:48:00","1"
"296200096","15:57:00","15:57:00","141","10","Laguna Niguel / Mission Viejo","0","15:57:00","1"
"296200098","06:40:00","06:40:00","107","1","Laguna Niguel / Mission Viejo","0","06:40:00","1"
"296200098","07:05:00","07:05:00","143","2","Laguna Niguel / Mission Viejo","0","07:05:00","1"
"296200098","07:12:00","07:12:00","130","3","Laguna Niguel / Mission Viejo","0","07:12:00","1"
"296200098","07:18:00","07:18:00","174","4","Laguna Niguel / Mission Viejo","0","07:18:00","1"
"296200098","07:25:00","07:25:00","128","5","Laguna Niguel / Mission Viejo","0","07:25:00","1"
"296200098","07:30:00","07:30:00","145","6","Laguna Niguel / Mission Viejo","0","07:30:00","1"
"296200098","07:35:00","07:35:00","154","7","Laguna Niguel / Mission Viejo","0","07:35:00","1"
"296200098","07:41:00","07:41:00","156","8","Laguna Niguel / Mission Viejo","0","07:41:00","1"
"296200098","07:48:00","07:48:00","140","9","Laguna Niguel / Mission Viejo","0","07:48:00","1"
"296200098","07:57:00","07:57:00","141","10","Laguna Niguel / Mission Viejo","0","07:57:00","1"
"296200099","15:40:00","15:40:00","107","1","Laguna Niguel / Mission Viejo","0","15:40:00","1"
"296200099","15:54:00","15:54:00","135","2","Laguna Niguel / Mission Viejo","0","15:54:00","1"
"296200099","16:05:00","16:05:00","143","3","Laguna Niguel / Mission Viejo","0","16:05:00","1"
"296200099","16:12:00","16:12:00","130","4","Laguna Niguel / Mission Viejo","0","16:12:00","1"
"296200099","16:18:00","16:18:00","174","5","Laguna Niguel / Mission Viejo","0","16:18:00","1"
