route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
801,RJUN25-801-1_Weekday-08,62480957,,1,158,801SB_RC_221121
801,RJUN25-801-1_Weekday-08,62480958,,0,108,801NB_RC_221121
801,RJUN25-801-1_Weekday-08,62480959,,1,160,801SB_RC_221121
801,RJUN25-801-1_Weekday-08,62480960,,0,158,801NB_RC_221121
801,RJUN25-801-1_Weekday-08,62480961,,0,159,801NB_RC_221121
801,RJUN25-801-1_Weekday-08,62480962,,1,102,801SB_RC_221121
801,RJUN25-801-1_Weekday-08,62480963,,0,155,801NB_RC_221121
801,RJUN25-801-1_Weekday-08,62480964,,1,104,801SB_RC_221121
801,RJUN25-801-1_Weekday-08,62480965,,1,162,801SB_RC_221121
801,RJUN25-801-1_Weekday-08,62480966,,1,153,801SB_RC_221121
801,RJUN25-801-1_Weekday-08,62480967,,0,104,801NB_RC_221121
801,RJUN25-801-1_Weekday-08,62480968,,1,159,801SB_RC_221121
801,RJUN25-801-1_Weekday-08,62480969,,1,101,801SB_RC_221121
801,RJUN25-801-1_Weekday-08,62480970,,1,104,801SB_RC_221121
801,RJUN25-801-1_Weekday-08,62480971,,1,102,801SB_RC_221121
801,RJUN25-801-1_Weekday-08,62480972,,0,121,801NB_RC_221121
801,RJUN25-801-1_Weekday-08,62480973,,0,102,801NB_RC_221121
801,RJUN25-801-1_Weekday-08,62480974,,0,101,801NB_RC_221121
801,RJUN25-801-1_Weekday-08,62480975,,1,154,801SB_RC_221121
801,RJUN25-801-1_Weekday-08,62480976,,1,155,801SB_RC_221121
801,RJUN25-801-1_Weekday-08,62480977,,1,162,801SB_RC_221121
801,RJUN25-801-1_Weekday-08,62480978,,0,103,801NB_RC_221121
801,RJUN25-801-1_Weekday-08,62480979,,0,105,801NB_RC_221121
801,RJUN25-801-1_Weekday-08,62480980,,1,152,801SB_RC_221121
801,RJUN25-801-1_Weekday-08,62480981,,0,153,801NB_RC_221121
801,RJUN25-801-1_Weekday-08,62480982,,0,105,801NB_RC_221121
801,RJUN25-801-1_Weekday-08,62480983,,0,153,801NB_RC_221121
801,RJUN25-801-1_Weekday-08,62480984,,1,172,801SB_RC_221121
801,RJUN25-801-1_Weekday-08,62480985,,1,163,801SB_RC_221121
801,RJUN25-801-1_Weekday-08,62480986,,1,162,801SB_RC_221121
801,RJUN25-801-1_Weekday-08,62480987,,1,151,801SB_RC_221121
801,RJUN25-801-1_Weekday-08,62480988,,1,172,801SB_RC_221121
801,RJUN25-801-1_Weekday-08,62480989,,1,156,801SB_RC_221121
801,RJUN25-801-1_Weekday-08,62480990,,0,127,801NB_RC_221121
